
"Company Name","Название Компании"
"Sign Up",Зарегистрируйтесь
"User Name","Имя Пользователя"
"Your Username","Ваше Имя Пользователя"
"First Name",Имя
"Your First Name","Ваше Имя"
"Last Name",Фамилия
"Your Last Name","Ваша Фамилия"
Email,"Электронной почты"
"Your Email","Ваш Email"
Phone,Телефон
"Your Phone",Телефон
Password,Пароль
"5 or more characters","5 или более символов"
"Confirm Password","Подтверждение Пароля"
Cancel,Отменить
Close,Рядом
"Forgot Password","Забыли Пароль"
"Enter the email address and we will send you instructions.","Введите адрес электронной почты и мы вышлем вам инструкции."
"Your email address","Ваш адрес электронной почты"
Send,Отправить
OK,ОК
"Log In",Войти
"email, user name or phone","электронной почты, имя пользователя или телефону"
"Forgot Password?","Забыли Пароль?"

"Please enter your email.","Пожалуйста, введите ваш адрес электронной почты."

"Please enter your email.","Пожалуйста, введите ваш адрес электронной почты."

"Invalid email address.","Неверный адрес электронной почты."

"Please enter your phone.","Пожалуйста, введите ваш телефона."
"Please enter your username.","Пожалуйста, введите Ваш логин."
"Please enter your first name.","Пожалуйста, введите ваше имя."
"Please enter your last name.","Пожалуйста, введите Вашу фамилию."
"Please enter your password.","Пожалуйста, введите Ваш пароль."
